"id","name","unit","description","sample_type","method"
"p13n_vatten.parameter_82","pH","UpH","Potencial de hidrógeno","Efluente","SM 4500"
"p13n_vatten.parameter_83","DQO","ppm O2","Demanda química de oxígeno","Efluente","SM 5220"
"p13n_vatten.parameter_84","DBO5","ppm O2","Demanda biológica de oxígeno a 5 días","Efluente","SM 5210"
"p13n_vatten.parameter_85","SS 10'","mg/l","Sólidos sedimentables 10 minutos","Efluente","SM 2500"
"p13n_vatten.parameter_86","SS 2hs","mg/l","Sólidos sedimentables 2 horas","Efluente","SM 2500"
"p13n_vatten.parameter_87","SSEE","mg/l","Sustancias solubles en éter etílico","Efluente","SM WW 5520"
"p13n_vatten.parameter_88","SAAM","mg/l","Sustancias activas a azul de metileno (detergentes)","Efluente","SM WW 5540 C"
"p13n_vatten.parameter_89","P total","mg/l","Fósforo total","Efluente",""
"p13n_vatten.parameter_90","N-Amoniacal","mg/l NH4+","Nitrógeno Amoniacal","Efluente","SM 4500 NH3C"
"p13n_vatten.parameter_91","N-Kjeldahl","mg/l NHK","Nitrógeno Kjeldahl","Efluente","SM 4500 Norg"
"p13n_vatten.parameter_92","Fenoles","mg/l","Fenoles","Efluente","SM 5530 B/C"
"p13n_vatten.parameter_93","TPH","mg/l","Hidrocarburos totales","Efluente",""
